ダウンロードした時刻：2019/09/03 13:09:18

,愛西,愛西,愛西
2012/1/18,-2.0,8,1
2012/1/19,0.6,8,1
2012/1/20,4.2,8,1
2012/1/21,5.8,8,1
2012/1/22,1.7,8,1
2012/1/23,3.6,8,1
2012/1/24,0.7,8,1
2012/1/25,0.0,8,1
2012/1/26,-0.9,8,1
2012/1/27,-1.6,8,1
2012/1/28,-0.2,8,1
2012/1/29,-1.7,8,1
2012/1/30,-2.8,8,1
2012/1/31,-2.4,8,1
2013/1/1,0.0,8,1
2013/1/2,-1.2,8,1
2013/1/3,0.1,8,1
2013/1/4,-2.3,8,1
2013/1/5,-4.2,8,1
2013/1/6,-3.1,8,1
2013/1/7,-1.4,8,1
2013/1/8,-1.0,8,1
2013/1/9,-1.2,8,1
2013/1/10,0.3,8,1
2013/1/11,0.0,8,1
2013/1/12,-2.4,8,1
2013/1/13,-1.2,8,1
2013/1/14,3.7,8,1
2013/1/15,2.1,8,1
2013/1/16,-1.3,8,1
2013/1/17,0.8,8,1
2013/1/18,-0.9,8,1
2013/1/19,-0.9,8,1
2013/1/20,0.5,8,1
2013/1/21,-1.9,8,1
2013/1/22,2.4,8,1
2013/1/23,2.4,8,1
2013/1/24,-1.2,8,1
2013/1/25,1.3,8,1
2013/1/26,-3.0,8,1
2013/1/27,-3.9,8,1
2013/1/28,-0.6,8,1
2013/1/29,0.6,8,1
2013/1/30,2.3,8,1
2013/1/31,-0.6,8,1
2014/1/1,0.5,8,1
2014/1/2,1.1,8,1
2014/1/3,-1.2,8,1
2014/1/4,1.0,8,1
2014/1/5,-0.8,8,1
2014/1/6,-2.5,8,1
2014/1/7,-3.5,8,1
2014/1/8,2.5,8,1
2014/1/9,0.6,8,1
2014/1/10,-1.3,8,1
2014/1/11,-0.2,8,1
2014/1/12,-0.8,8,1
2014/1/13,-1.6,8,1
2014/1/14,-3.4,8,1
2014/1/15,0.9,8,1
2014/1/16,-2.0,8,1
2014/1/17,0.3,8,1
2014/1/18,-1.5,8,1
2014/1/19,-1.2,8,1
2014/1/20,-2.9,8,1
2014/1/21,-0.4,8,1
2014/1/22,-0.2,8,1
2014/1/23,-3.2,8,1
2014/1/24,-2.6,8,1
2014/1/25,0.4,8,1
2014/1/26,0.7,8,1
2014/1/27,-1.6,8,1
2014/1/28,-2.2,8,1
2014/1/29,1.3,8,1
2014/1/30,1.0,8,1
2014/1/31,2.7,8,1
2015/1/1,-0.4,8,1
2015/1/2,-0.9,8,1
2015/1/3,-0.6,8,1
2015/1/4,-0.9,8,1
2015/1/5,0.9,8,1
2015/1/6,4.1,8,1
2015/1/7,2.6,8,1
2015/1/8,1.6,8,1
2015/1/9,0.7,8,1
2015/1/10,1.0,8,1
2015/1/11,0.2,8,1
2015/1/12,1.2,8,1
2015/1/13,-0.2,8,1
2015/1/14,-1.6,8,1
2015/1/15,4.3,8,1
2015/1/16,2.1,8,1
2015/1/17,1.1,8,1
2015/1/18,-1.1,8,1
2015/1/19,0.3,8,1
2015/1/20,1.6,8,1
2015/1/21,-0.1,8,1
2015/1/22,5.0,8,1
2015/1/23,2.2,8,1
2015/1/24,-1.3,8,1
2015/1/25,1.3,8,1
2015/1/26,3.0,8,1
2015/1/27,4.1,8,1
2015/1/28,0.5,8,1
2015/1/29,-2.4,8,1
2015/1/30,2.5,8,1
2015/1/31,0.2,8,1
2016/1/1,0.7,8,1
2016/1/2,0.0,8,1
2016/1/3,1.9,8,1
2016/1/4,2.7,8,1
2016/1/5,3.4,8,1
2016/1/6,5.3,8,1
2016/1/7,6.3,8,1
2016/1/8,1.1,8,1
2016/1/9,1.9,8,1
2016/1/10,-0.9,8,1
2016/1/11,5.2,8,1
2016/1/12,1.9,8,1
2016/1/13,1.2,8,1
2016/1/14,-0.2,8,1
2016/1/15,1.2,8,1
2016/1/16,1.2,8,1
2016/1/17,-1.4,8,1
2016/1/18,3.6,8,1
2016/1/19,0.5,8,1
2016/1/20,-0.7,8,1
2016/1/21,-0.7,8,1
2016/1/22,-1.1,8,1
2016/1/23,-1.9,8,1
2016/1/24,-2.9,8,1
2016/1/25,-4.7,8,1
2016/1/26,-3.8,8,1
2016/1/27,-0.2,8,1
2016/1/28,-1.2,8,1
2016/1/29,5.5,8,1
2016/1/30,5.4,8,1
2016/1/31,3.0,8,1
2017/1/1,3.6,8,1
2017/1/2,0.2,8,1
2017/1/3,3.8,8,1
2017/1/4,0.0,8,1
2017/1/5,2.7,8,1
2017/1/6,0.3,8,1
2017/1/7,-2.2,8,1
2017/1/8,2.0,8,1
2017/1/9,6.3,8,1
2017/1/10,3.7,8,1
2017/1/11,2.9,8,1
2017/1/12,2.7,8,1
2017/1/13,2.1,8,1
2017/1/14,-2.4,8,1
2017/1/15,-3.2,8,1
2017/1/16,-0.7,8,1
2017/1/17,-0.6,8,1
2017/1/18,-2.5,8,1
2017/1/19,-0.2,8,1
2017/1/20,-1.9,8,1
2017/1/21,0.7,8,1
2017/1/22,-1.4,8,1
2017/1/23,-0.7,8,1
2017/1/24,-3.1,8,1
2017/1/25,-3.9,8,1
2017/1/26,-4.0,8,1
2017/1/27,-1.0,8,1
2017/1/28,-0.3,8,1
2017/1/29,-0.2,8,1
2017/1/30,4.5,8,1
2017/1/31,-0.8,8,1
2018/1/1,3.5,8,1
2018/1/2,2.5,8,1
2018/1/3,0.5,8,1
2018/1/4,-0.2,8,1
2018/1/5,1.1,8,1
2018/1/6,-0.2,8,1
2018/1/7,0.9,8,1
2018/1/8,2.6,8,1
2018/1/9,3.5,8,1
2018/1/10,0.2,8,1
2018/1/11,-1.1,8,1
2018/1/12,-3.8,8,1
2018/1/13,-4.3,8,1
2018/1/14,-1.4,8,1
2018/1/15,-2.5,8,1
2018/1/16,-0.3,8,1
2018/1/17,6.0,8,1
2018/1/18,7.3,8,1
2018/1/19,2.3,8,1
2018/1/20,-1.0,8,1
2018/1/21,0.8,8,1
2018/1/22,-0.3,8,1
2018/1/23,1.0,8,1
2018/1/24,-3.1,8,1
2018/1/25,-3.3,8,1
2018/1/26,-3.0,8,1
2018/1/27,-4.5,8,1
2018/1/28,-3.3,8,1
2018/1/29,-1.3,8,1
2018/1/30,-1.7,8,1
2018/1/31,-1.9,8,1
2019/1/1,-3.0,8,1
2019/1/2,2.8,8,1
2019/1/3,-0.6,8,1
2019/1/4,-2.1,8,1
2019/1/5,3.9,8,1
2019/1/6,1.4,8,1
2019/1/7,-2.0,8,1
2019/1/8,1.4,8,1
2019/1/9,-0.8,8,1
2019/1/10,-4.1,8,1
2019/1/11,0.6,8,1
2019/1/12,-0.1,8,1
2019/1/13,-1.2,8,1
2019/1/14,-1.5,8,1
2019/1/15,-0.2,8,1
2019/1/16,3.1,8,1
2019/1/17,2.3,8,1
2019/1/18,0.6,8,1
2019/1/19,-0.8,8,1
2019/1/20,2.6,8,1
2019/1/21,0.2,8,1
2019/1/22,1.2,8,1
2019/1/23,-1.5,8,1
2019/1/24,0.4,8,1
2019/1/25,-2.4,8,1
2019/1/26,-0.7,8,1
2019/1/27,-1.3,8,1
2019/1/28,-0.7,8,1
2019/1/29,0.4,8,1
2019/1/30,-2.7,8,1
2019/1/31,1.5,8,1
